"DATE","IC4WSA"
"1982-08-28",629500
"1982-09-04",640750
"1982-09-11",641750
"1982-09-18",654750
"1982-09-25",660750
"1982-10-02",671750
"1982-10-09",674250
"1982-10-16",668250
"1982-10-23",656250
"1982-10-30",641750
"1982-11-06",626250
"1982-11-13",612000
"1982-11-20",600500
"1982-11-27",594250
"1982-12-04",586250
"1982-12-11",569750
"1982-12-18",554500
"1982-12-25",523750
"1983-01-01",518000
"1983-01-08",512250
"1983-01-15",503000
"1983-01-22",500500
"1983-01-29",492750
"1983-02-05",490500
"1983-02-12",492250
"1983-02-19",494250
"1983-02-26",488750
"1983-03-05",487250
"1983-03-12",484500
"1983-03-19",480250
"1983-03-26",480250
"1983-04-02",479250
"1983-04-09",484500
"1983-04-16",495750
"1983-04-23",497500
"1983-04-30",497250
"1983-05-07",496750
"1983-05-14",484000
"1983-05-21",477000
"1983-05-28",468000
"1983-06-04",459250
"1983-06-11",453750
"1983-06-18",447250
"1983-06-25",444250
"1983-07-02",435000
"1983-07-09",427500
"1983-07-16",418000
"1983-07-23",406250
"1983-07-30",404500
"1983-08-06",405250
"1983-08-13",420500
"1983-08-20",433000
"1983-08-27",435750
"1983-09-03",434750
"1983-09-10",421250
"1983-09-17",411250
"1983-09-24",408750
"1983-10-01",409250
"1983-10-08",410000
"1983-10-15",407250
"1983-10-22",401750
"1983-10-29",399500
"1983-11-05",396750
"1983-11-12",395750
"1983-11-19",394000
"1983-11-26",392500
"1983-12-03",385000
"1983-12-10",379500
"1983-12-17",373250
"1983-12-24",368000
"1983-12-31",369750
"1984-01-07",366750
"1984-01-14",364000
"1984-01-21",353000
"1984-01-28",351000
"1984-02-04",347500
"1984-02-11",344250
"1984-02-18",344500
"1984-02-25",339250
"1984-03-03",340500
"1984-03-10",342500
"1984-03-17",346250
"1984-03-24",347000
"1984-03-31",345500
"1984-04-07",354250
"1984-04-14",356250
"1984-04-21",360750
"1984-04-28",369250
"1984-05-05",365250
"1984-05-12",368000
"1984-05-19",365500
"1984-05-26",360250
"1984-06-02",357750
"1984-06-09",358000
"1984-06-16",359750
"1984-06-23",361750
"1984-06-30",363000
"1984-07-07",362250
"1984-07-14",362000
"1984-07-21",360750
"1984-07-28",360500
"1984-08-04",364500
"1984-08-11",369500
"1984-08-18",380500
"1984-08-25",389500
"1984-09-01",390250
"1984-09-08",395750
"1984-09-15",393750
"1984-09-22",393750
"1984-09-29",398000
"1984-10-06",398250
"1984-10-13",402500
"1984-10-20",413500
"1984-10-27",419250
"1984-11-03",424250
"1984-11-10",420000
"1984-11-17",406000
"1984-11-24",407000
"1984-12-01",401500
"1984-12-08",399000
"1984-12-15",399750
"1984-12-22",387250
"1984-12-29",381750
"1985-01-05",378250
"1985-01-12",378500
"1985-01-19",373500
"1985-01-26",370750
"1985-02-02",375000
"1985-02-09",378500
"1985-02-16",386250
"1985-02-23",391750
"1985-03-02",388750
"1985-03-09",384750
"1985-03-16",383750
"1985-03-23",379500
"1985-03-30",382500
"1985-04-06",387500
"1985-04-13",393750
"1985-04-20",398250
"1985-04-27",398250
"1985-05-04",394500
"1985-05-11",390250
"1985-05-18",390250
"1985-05-25",392750
"1985-06-01",393500
"1985-06-08",395750
"1985-06-15",395500
